Front,Back,Tags
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Hello</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Hello, how are you?</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>مرحبا</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>mar7aba</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>مرحبا، كيفك؟</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>mar7aba, kīfak/kīfik?</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Hello, how are you?</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Hi (warm)</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Hi! What’s up?</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>أهلين</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ahleen</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>أهلين! شو الأخبار؟</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ahleen! shū l-akhbār?</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Hi! What’s up?</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Welcome</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Welcome (to you).</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>أهلا وسهلا</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ahlan w sahlan</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>أهلا وسهلا فيك.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ahlan w sahlan fīk.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Welcome (to you).</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Good morning</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Good morning!</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>صباح الخير</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ṣabā7 l-kheir</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>صباح الخير!</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>ṣabā7 l-kheir!</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Good morning!</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Good evening</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Good evening!</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>مساء الخير</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>masā l-kheir</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>مساء الخير!</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>masā l-kheir!</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Good evening!</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Good night</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Good night.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>تصبح على خير</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>tiṣba7 3a kheir</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>تصبح على خير.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>tiṣba7 3a kheir.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Good night.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Goodbye</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Alright, goodbye.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>مع السلامة</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>ma3 s-salāme</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>يلا، مع السلامة.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>yalla, ma3 s-salāme.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Alright, goodbye.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Bye / peace</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Bye! See you.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>سلام</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>salām</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>سلام! بشوفك.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>salām! bshūfak.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Bye! See you.</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>How are you?</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>How are you today?</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>كيفك؟ / كيفِك؟</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>kīfak? / kīfik?</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>كيفك اليوم؟</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>kīfak il-yōm?</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>How are you today?</div>
</div>",reverse-recall source::words-phrases
"<div style='text-align:center; line-height:1.15;'>
<div style='color:#6B7280; font-size:18px; font-weight:800; letter-spacing:.08em; text-transform:uppercase; margin-bottom:10px;'>English → Levantine</div>
<div style='color:#111827; font-size:34px; font-weight:800;'>Okay / perfect</div>
<div style='color:#0F766E; font-size:22px; font-weight:700; margin-top:12px;'>Use it in a sentence:</div>
<div style='color:#374151; font-size:24px; margin-top:4px;'>Okay, let’s go.</div>
</div>","<div style='line-height:1.2;'>
<div style='color:#7C3AED; font-size:36px; font-weight:800; text-align:center;'>تمام</div>
<div style='color:#14B8A6; font-size:26px; font-weight:700; margin-top:6px; text-align:center;'>tamām</div>
<div style='font-size:24px; font-weight:900; margin:14px 0 8px 0; text-align:center;'>Example answer:</div>
<div style='color:#7C3AED; font-size:28px; font-weight:750; text-align:center;'>تمام، خلّينا نروح.</div>
<div style='color:#14B8A6; font-size:22px; margin-top:6px; text-align:center;'>tamām, khallīna nrū7.</div>
<div style='color:#6B7280; font-size:22px; margin-top:6px; text-align:center;'>Okay, let’s go.</div>
</div>",reverse-recall source::words-phrases
