
Front,Back
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مرحبا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (mar7aba)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Hello  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مرحبا، كيفك اليوم؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    mar7aba, keefak el‑yom?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hello, how are you today?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Think of “marhaba” as a warm “marshmallow” hello – the 7 reminds you of the Arabic ح sound.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مرحبتين  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (marHabtein)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Hello (in reply)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مرحبتين! كيف حالك؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    marHabtein! keef 7aalak?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hello to you! How are you?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Saying “marHabtein” literally means “two hellos” – imagine you’re sending twice the warmth back.  </div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مراحب  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (maraaHib)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Greetings! (Hello to many)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    مراحب يا جماعة!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    maraaHib ya jama3a!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Greetings, everyone!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “MaraaHib” is a plural greeting – think of it as saying “many hellos.”  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أهلين  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ahlein)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Hi! / “Two families”  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أهلين يا صديقي!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ahlein ya Sadee’i!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hi, my friend!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Ahlein” literally means “two welcomes,” implying you’re so welcome you belong to two families.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أهلا و سهلا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ahlan wa sahlan)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Welcome!  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    أهلا وسهلا في بيتنا.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    ahlan wa sahlan fi baytna.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Welcome to our home.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Literally “easy and wide,” think of opening your house wide so guests feel at ease.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    سلام عليكم  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (salaamu ʿalaykum)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Peace be upon you  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    سلام عليكم يا جماعة!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    salaamu ʿalaykum ya jama3a!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Peace be upon you, everyone!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Use this formal greeting to share “peace” – it earns instant respect.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    و عليكم سلام  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (wa ʿalaykum salaam)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    And peace be upon you (reply)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    و عليكم سلام، كيفك؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    wa ʿalaykum salaam, keefak?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    And peace be upon you; how are you?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Replying with “wa ʿalaykum salaam” reflects the greeting back – like returning a smile.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    سلام  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (salaam)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Peace / Hi  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    سلام، شو الأخبار؟  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    salaam, shoo el‑akhbar?  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Hi, what's new?  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “Salaam” is both peace and hello – think of saying “peace” as your greeting.  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    صباح الخير  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (sabaH el‑kheyr)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Good morning  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    صباح الخير يا حبيبتي.  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    sabaH el‑kheyr ya Habeebti.  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Good morning, my dear.  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    “SabaH” sounds like “sabah”—imagine greeting the morning sun shining like gold (“kheyr”).  </div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    صباح النور  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (sabaH el‑noor)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>    Good morning (reply)  </div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>    Example:  </div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>    صباح النور يا أصدقائي!  </div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>    sabaH el‑noor ya aSdiqa'i!  </div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>    Bright morning to you, my friends!  </div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>    Respond with “noor” (light) – you’re saying “morning of light” to match “good morning.”  </div></div>"
