Front,Back
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مرحبا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mar7aba)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Hello</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مرحبا، كيفك؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mar7aba, kīfak/kīfik?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Hello, how are you?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أهلين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ahleen)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Hi (warm)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أهلين! شو الأخبار؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ahleen! shū l-akhbār?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Hi! What’s up?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أهلا وسهلا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ahlan w sahlan)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Welcome</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أهلا وسهلا فيك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ahlan w sahlan fīk.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Welcome (to you).</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>صباح الخير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṣabā7 l-kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good morning</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>صباح الخير!</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ṣabā7 l-kheir!</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good morning!</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مساء الخير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(masā l-kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good evening</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مساء الخير!</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>masā l-kheir!</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good evening!</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تصبح على خير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tiṣba7 3a kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good night</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تصبح على خير.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tiṣba7 3a kheir.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good night.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مع السلامة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma3 s-salāme)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Goodbye</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يلا، مع السلامة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>yalla, ma3 s-salāme.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Alright, goodbye.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>سلام</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(salām)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Bye / peace</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>سلام! بشوفك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>salām! bshūfak.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Bye! See you.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كيفك؟ / كيفِك؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(kīfak? / kīfik?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>How are you?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>كيفك اليوم؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>kīfak il-yōm?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>How are you today?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تمام</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tamām)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Okay / perfect</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تمام، خلّينا نروح.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tamām, khallīna nrū7.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Okay, let’s go.</div>
</div>"
