Front,Back,Tags
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ana)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بحب القهوة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bḥebb el-ʔahwe</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I like coffee</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنت</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(enta)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you (masc.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنت جاهز؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>enta جاهez?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Are you ready?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنتِ</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(enti)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you (fem.)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنتِ من وين؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>enti min wen?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Where are you from?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(huwwe)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>he</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هو بالبيت</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>huwwe bil-bēt</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>He is at home</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hiyye)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>she</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هي تعبانة</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>hiyye taʿbāne</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>She is tired</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>نحنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(neḥna)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>we</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>نحنا أصحاب</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>neḥna aṣḥāb</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>We are friends</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنتو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ento)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you all</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنتو جاهزين؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ento jāhzeen?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Are you all ready?</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هنّي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(henne)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>they</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هنّي هون</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>henne هون</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>They are here</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بحكي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bḥki)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I speak</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بحكي عربي شوي</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>ana bḥki ʿarabi shway</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>I speak a little Arabic</div>
</div>",levantine-arabic sentence-engine v2
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بتحكي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(btiḥki)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>you speak</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنت بتحكي إنجليزي؟</div>
<div style='color:#14B8A6; font-size:24px; text-align:center; margin-top:6px;'>enta btiḥki inglīzi?</div>
<div style='color:#111827; font-size:24px; text-align:center; margin-top:6px;'>Do you speak English?</div>
</div>",levantine-arabic sentence-engine v2
