Front,Back,Tags
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>راح</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(rāḥ)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to go</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بروح عالبيت</div><div style='text-align:center; font-size:24px;'>ana brouḥ ʿal-beit</div><div style='text-align:center; font-size:24px;'>I go home</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>إجا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ija)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to come</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إجا لعندي</div><div style='text-align:center; font-size:24px;'>ija la-ʿandi</div><div style='text-align:center; font-size:24px;'>He came to me</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكل</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akal)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to eat</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا باكل هلأ</div><div style='text-align:center; font-size:24px;'>ana bakol hallaʾ</div><div style='text-align:center; font-size:24px;'>I'm eating now</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>شرب</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shereb)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to drink</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدي اشرب مي</div><div style='text-align:center; font-size:24px;'>baddi eshrab may</div><div style='text-align:center; font-size:24px;'>I want to drink water</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>شاف</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shāf)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to see</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شفت الفيلم</div><div style='text-align:center; font-size:24px;'>shefet el-film</div><div style='text-align:center; font-size:24px;'>I saw the movie</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>سمع</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(semeʿ)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to hear / listen</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عم بسمع موسيقى</div><div style='text-align:center; font-size:24px;'>ʿam basmaʿ mūsīʔa</div><div style='text-align:center; font-size:24px;'>I'm listening to music</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>عرف</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿeref)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to know</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بعرف</div><div style='text-align:center; font-size:24px;'>ana baʿrif</div><div style='text-align:center; font-size:24px;'>I know</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>فهم</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(fhem)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to understand</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بفهم شوي عربي</div><div style='text-align:center; font-size:24px;'>ana bfham shway ʿarabi</div><div style='text-align:center; font-size:24px;'>I understand a little Arabic</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>حكى</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ḥaka)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to speak</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عم بحكي عربي</div><div style='text-align:center; font-size:24px;'>ʿam baḥki ʿarabi</div><div style='text-align:center; font-size:24px;'>I'm speaking Arabic</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>درس</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(daras)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to study</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بدرس اليوم</div><div style='text-align:center; font-size:24px;'>ana bdrus el-yom</div><div style='text-align:center; font-size:24px;'>I'm studying today</div></div>,verb
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>راح</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(rāḥ)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>to go</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بروح عالبيت</div><div style='text-align:center; font-size:24px;'>ana brouḥ ʿal-beit</div><div style='text-align:center; font-size:24px;'>I go home</div></div>,verb
